"district","school","grade","n_math","mean_math","diffmath_charter","stdmath_public","mathperc_lvl","diffmathlvl_public","stdmathlvl_public","n_ela","mean_ela","diffela_charter","stdela_public","elaperc_lvl","diffelalvl_public","stdelalvl_public"
"Los Angeles Unified","Citizens of the World Hollywood",13,"228",NA,NA,NA,0.7493,0.47111044467425,0.47111044467425,"229",NA,NA,NA,0.7241,0.346623267838676,0.346623267838676
"Los Angeles Unified","Citizens of the World Hollywood",3,"77",2472.2,52.818956521739,1.37346793236757,0.6787,0.292718275862069,1.34878213264106,"78",2462,49.9789565217393,1.20527103075689,0.6597,0.282321206896552,1.3392728187963
"Los Angeles Unified","Citizens of the World Hollywood",4,"78",2560.2,105.431770833333,2.65590639360416,0.8718,0.54945724137931,2.60927272304037,"78",2541.9,91.8868055555558,2.06142116202274,0.7723,0.390398793103448,1.85828651885619
"Los Angeles Unified","Citizens of the World Hollywood",5,"73",2570.7,97.0745733788394,2.22495931798972,0.7034,0.426682939189189,1.87491022082973,"73",2562.8,82.2074957410564,1.80773080943527,0.7308,0.355802195945946,1.71376184579436
"Los Angeles Unified","Citizens of the World Mar Vista",13,"276",NA,NA,NA,0.587,0.30881044467425,0.30881044467425,"275",NA,NA,NA,0.6901,0.312623267838676,0.312623267838676
"Los Angeles Unified","Citizens of the World Mar Vista",3,"86",2472.3,52.9189565217393,1.37606826380692,0.6867,0.300718275862069,1.38564439219541,"86",2458.2,46.1789565217391,1.11363186428322,0.6069,0.229521206896552,1.088800650553
"Los Angeles Unified","Citizens of the World Mar Vista",4,"103",2524.4,69.6317708333336,1.75407719980893,0.6276,0.30525724137931,1.4496112407985,"102",2532.4,82.3868055555558,1.84829479506709,0.7617,0.379798793103448,1.8078308375174
"Los Angeles Unified","Citizens of the World Mar Vista",5,"50",2519,45.3745733788396,1.03998994098144,0.4575,0.180782939189189,0.794387938457415,"50",2530.5,49.9074957410562,1.09745853294263,0.6274,0.252402195945946,1.21572395599433
"Los Angeles Unified","Citizens of the World Mar Vista",6,"37",2554.3,67.8066037735853,1.45294473200055,0.4071,0.130862732919255,0.56969705834302,"37",2576.1,79.6833333333334,1.9147069482046,0.7342,0.407116149068323,2.15686441768601
"Los Angeles Unified","Citizens of the World Silver Lake",13,"491",NA,NA,NA,0.4767,0.19851044467425,0.19851044467425,"491",NA,NA,NA,0.5541,0.176623267838676,0.176623267838676
