"school","district","total","sys_avgenrolled","std_total","perc_amind","sys_amind","std_amind","perc_asian","sys_asian","std_asian","perc_black","sys_black","std_black","perc_hawpi","sys_hawpi","std_hawpi","perc_hispanic","sys_hispanic","std_hispanic","perc_white","sys_white","std_white","perc_multiple","sys_multiple","std_multiple","perc_unreported","sys_unreported","std_unreported"
"Citizens of the World Charter School Hollywood","Los Angeles Unified",437,586.17443012884,-0.318040538248112,0,0.00179599718446522,-0.597371828717499,0.128146453089245,0.0286967320680028,1.9091147052415,0.045766590389016,0.09899305796344,-0.351116422762215,0,0.00268175289761677,-0.345872762173647,0.331807780320366,0.761812328484196,-1.76278523365726,0.482837528604119,0.100426304314323,2.16886461972473,0.0068649885583524,0.00229779069297542,0.379802771724812,0.0045766590389016,0.00329603639498043,0.181629197799971
"Citizens of the World Charter School Mar Vista","Los Angeles Unified",623,586.17443012884,0.0785122762191987,0.00160513643659711,0.00179599718446522,-0.0634827465045889,0.028892455858748,0.0286967320680028,0.00375726712191978,0.0947030497592295,0.09899305796344,-0.0282996862825199,0.00321027287319422,0.00268175289761677,0.0681646187385025,0.321027287319422,0.761812328484196,-1.80697940312536,0.426966292134831,0.100426304314323,1.85198807337451,0.0658105939004815,0.00229779069297542,5.28164958235989,0.057784911717496,0.00329603639498043,7.72809286235014
"Citizens of the World Charter School Silver Lake","Los Angeles Unified",646,586.17443012884,0.127548376932898,0.00309597523219814,0.00179599718446522,0.432389466077061,0.0170278637770898,0.0286967320680028,-0.224004731425542,0.0681114551083591,0.09899305796344,-0.203715151836407,0.00619195046439629,0.00268175289761677,0.452719461690963,0.421052631578947,0.761812328484196,-1.39692978712689,0.386996904024768,0.100426304314323,1.6252996650911,0.0681114551083591,0.00229779069297542,5.47298647860663,0.0294117647058824,0.00329603639498043,3.70396291646636
"City Language Immersion Charter","Los Angeles Unified",405,586.17443012884,-0.386264678371521,0.00740740740740741,0.00179599718446522,1.86642741734652,0.00987654320987654,0.0286967320680028,-0.361287079898361,0.217283950617284,0.09899305796344,0.780323718005372,0.00246913580246914,0.00268175289761677,-0.0274217889535615,0.506172839506173,0.761812328484196,-1.04798313932823,0.224691358024691,0.100426304314323,0.70477554355562,0.0296296296296296,0.00229779069297542,2.27288339381385,0.00246913580246914,0.00329603639498043,-0.117278334871762
"High Tech LA","Los Angeles Unified",385,586.17443012884,-0.428904765948651,0.0025974025974026,0.00179599718446522,0.26655777704521,0.0415584415584416,0.0286967320680028,0.246903444982979,0.0207792207792208,0.09899305796344,-0.515949375829428,0,0.00268175289761677,-0.345872762173647,0.345454545454545,0.761812328484196,-1.70684090430436,0.555844155844156,0.100426304314323,2.58292540238198,0.0337662337662338,0.00229779069297542,2.61687850042412,0,0.00329603639498043,-0.467472950897358
"High Tech LA Middle","Los Angeles Unified",59,586.17443012884,-1.12393819345587,0,0.00179599718446522,-0.597371828717499,0.0508474576271186,0.0286967320680028,0.425222669932319,0.0508474576271186,0.09899305796344,-0.317599715558644,0,0.00268175289761677,-0.345872762173647,0.406779661016949,0.761812328484196,-1.45544121881884,0.474576271186441,0.100426304314323,2.12201048001972,0.0169491525423729,0.00229779069297542,1.21838991958913,0,0.00329603639498043,-0.467472950897358
"The City","Los Angeles Unified",334,586.17443012884,-0.537636989270333,0.0029940119760479,0.00179599718446522,0.39847517193712,0.0359281437125748,0.0286967320680028,0.138819839498175,0.161676646706587,0.09899305796344,0.413501749193052,0,0.00268175289761677,-0.345872762173647,0.251497005988024,0.761812328484196,-2.09201581435962,0.416167664670659,0.100426304314323,1.79074311098584,0.0778443113772455,0.00229779069297542,6.28235929245934,0.0538922155688623,0.00329603639498043,7.17599636295472
"Valley Charter Elementary","Los Angeles Unified",254,586.17443012884,-0.708197339578854,0,0.00179599718446522,-0.597371828717499,0.0511811023622047,0.0286967320680028,0.431627575481961,0.0236220472440945,0.09899305796344,-0.497196242203107,0,0.00268175289761677,-0.345872762173647,0.492125984251969,0.761812328484196,-1.10556762099747,0.346456692913386,0.100426304314323,1.39537380525541,0.0866141732283465,0.00229779069297542,7.01165062970183,0,0.00329603639498043,-0.467472950897358
"Valley Charter Middle","Los Angeles Unified",320,586.17443012884,-0.567485050574324,0,0.00179599718446522,-0.597371828717499,0.0125,0.0286967320680028,-0.310925149415715,0.03125,0.09899305796344,-0.446877301144173,0,0.00268175289761677,-0.345872762173647,0.609375,0.761812328484196,-0.624910301199239,0.325,0.100426304314323,1.27368108506247,0.021875,0.00229779069297542,1.62801756714146,0,0.00329603639498043,-0.467472950897358
"High Tech Elementary","San Diego Unified",383,519.67264573991,-0.371657870112592,0.0234986945169713,0.00368557291758933,4.71917751396839,0.0287206266318538,0.0647378075014415,-0.458934726393195,0.0835509138381201,0.0953992813533134,-0.115433608391914,0.00261096605744125,0.00451306804552012,-0.346515777102119,0.462140992167102,0.508320076016124,-0.196809880120688,0.357702349869452,0.231399065356168,0.617365553682578,0.0417754569190601,0.0824691124388692,-0.767427199312734,0,0.009476016370974,-0.978258659125034
