"school","district","total","sys_avgenrolled","std_total","perc_amind","sys_amind","std_amind","perc_asian","sys_asian","std_asian","perc_black","sys_black","std_black","perc_hawpi","sys_hawpi","std_hawpi","perc_hispanic","sys_hispanic","std_hispanic","perc_white","sys_white","std_white","perc_multiple","sys_multiple","std_multiple","perc_unreported","sys_unreported","std_unreported"
"Citizens of the World Charter School Hollywood","Los Angeles Unified",197,293.282457879088,-0.410200021459792,0,0.00276199604236093,-0.579843221643151,0.0101522842639594,0.0279892612009636,-0.342595332081108,0.0609137055837563,0.100235731894902,-0.258172088537524,0,0.0034353945191806,-0.381351909348461,0.406091370558376,0.758493912164043,-1.44889264173675,0.50253807106599,0.100416237931576,2.28462646738422,0.0101522842639594,0.00246111623066262,0.652573419214119,0.0101522842639594,0.0042063500163116,0.729622854979871
"Citizens of the World Charter School Mar Vista","Los Angeles Unified",307,293.282457879088,0.0584419654039153,0.00325732899022801,0.00276199604236093,0.103988364889812,0.0456026058631922,0.0279892612009636,0.338300020509457,0.0977198697068404,0.100235731894902,-0.0165181059191826,0.00325732899022801,0.0034353945191806,-0.0197664719659071,0.293159609120521,0.758493912164043,-1.91320824349189,0.439739413680782,0.100416237931576,1.92784038178393,0.0456026058631922,0.00246111623066262,3.66043093553668,0.0716612377850163,0.0042063500163116,8.27735823274857
"Citizens of the World Charter School Silver Lake","Los Angeles Unified",363,293.282457879088,0.29702334053453,0.00275482093663912,0.00276199604236093,-0.00150631512629243,0.0192837465564738,0.0279892612009636,-0.167207071641078,0.0771349862258953,0.100235731894902,-0.1516698989251,0.00550964187327824,0.0034353945191806,0.230255414488697,0.421487603305785,0.758493912164043,-1.38559148551765,0.366391184573003,0.100416237931576,1.51111765810287,0.068870523415978,0.00246111623066262,5.63464661378979,0.0385674931129477,0.0042063500163116,4.21644005506073
"City Language Immersion Charter","Los Angeles Unified",206,293.282457879088,-0.371856586170943,0.0145631067961165,0.00276199604236093,2.47748149290471,0.00970873786407767,0.0279892612009636,-0.351114540616138,0.218446601941748,0.100235731894902,0.776123462365465,0.00485436893203883,0.0034353945191806,0.157515708498355,0.490291262135922,0.758493912164043,-1.10270727432742,0.228155339805825,0.100416237931576,0.725740581621811,0.029126213592233,0.00246111623066262,2.26245658443358,0.00485436893203883,0.0042063500163116,0.0795181029055117
"High Tech LA","Los Angeles Unified",247,293.282457879088,-0.197180936521743,0.00404858299595142,0.00276199604236093,0.270101300889722,0.0526315789473684,0.0279892612009636,0.473305709896584,0.0161943319838057,0.100235731894902,-0.551780917061112,0,0.0034353945191806,-0.381351909348461,0.307692307692308,0.758493912164043,-1.85345748253171,0.578947368421053,0.100416237931576,2.71874043162962,0.0404858299595142,0.00246111623066262,3.22628726160315,0,0.0042063500163116,-0.516159274576576
"High Tech LA Middle","Los Angeles Unified",34,293.282457879088,-1.10464223835783,0,0.00276199604236093,-0.579843221643151,0.0294117647058824,0.0279892612009636,0.0273220659742605,0.0294117647058824,0.100235731894902,-0.465000744951936,0,0.0034353945191806,-0.381351909348461,0.411764705882353,0.758493912164043,-1.42556689111202,0.5,0.100416237931576,2.2702065979425,0.0294117647058824,0.00246111623066262,2.28668477263437,0,0.0042063500163116,-0.516159274576576
"The City","Los Angeles Unified",163,293.282457879088,-0.555052999217665,0.00613496932515337,0.00276199604236093,0.708109521090712,0.049079754601227,0.0279892612009636,0.405085716920327,0.171779141104294,0.100235731894902,0.469724302367613,0,0.0034353945191806,-0.381351909348461,0.269938650306748,0.758493912164043,-2.00868052983254,0.386503067484663,0.100416237931576,1.62538188407329,0.0736196319018405,0.00246111623066262,6.03759476801308,0.0429447852760736,0.0042063500163116,4.7535755617987
"Valley Charter Elementary","Los Angeles Unified",124,293.282457879088,-0.721207885469342,0,0.00276199604236093,-0.579843221643151,0.0403225806451613,0.0279892612009636,0.236886423387223,0.032258064516129,0.100235731894902,-0.446313122884833,0,0.0034353945191806,-0.381351909348461,0.532258064516129,0.758493912164043,-0.930162005814736,0.346774193548387,0.100416237931576,1.39966512503363,0.0483870967741935,0.00246111623066262,3.89668695629923,0,0.0042063500163116,-0.516159274576576
"Valley Charter Middle","Los Angeles Unified",140,293.282457879088,-0.653041778289167,0,0.00276199604236093,-0.579843221643151,0.0142857142857143,0.0279892612009636,-0.263204422066567,0.0357142857142857,0.100235731894902,-0.423621010374781,0,0.0034353945191806,-0.381351909348461,0.564285714285714,0.758493912164043,-0.798481269711533,0.364285714285714,0.100416237931576,1.49915557908036,0.0214285714285714,0.00246111623066262,1.60933385393536,0,0.0042063500163116,-0.516159274576576
"High Tech Elementary","San Diego Unified",184,259.367713004484,-0.409166746181687,0.0217391304347826,0.00525258605708855,2.79578577600388,0.0434782608695652,0.0642133948147825,-0.248468618438924,0.0652173913043478,0.0998793052882272,-0.320629969437953,0.00543478260869565,0.00556934393839128,-0.0187969921221,0.46195652173913,0.502214480271666,-0.17007338532139,0.369565217391304,0.228555342430005,0.684248625522723,0.0326086956521739,0.083007542479346,-0.881671245979853,0,0.0113080047204937,-0.99547690481084
"High Tech Elementary Explorer","San Diego Unified",178,259.367713004484,-0.441740382546957,0.0168539325842697,0.00525258605708855,1.9673546414656,0.0449438202247191,0.0642133948147825,-0.230906855434287,0.129213483146067,0.0998793052882272,0.2713472935863,0,0.00556934393839128,-0.777986620465237,0.410112359550562,0.502214480271666,-0.389093735432663,0.348314606741573,0.228555342430005,0.58113030751423,0.050561797752809,0.083007542479346,-0.567601879421717,0,0.0113080047204937,-0.99547690481084
"High Tech High","San Diego Unified",249,259.367713004484,-0.0562856855579259,0.0120481927710843,0.00525258605708855,1.15239798923607,0.0321285140562249,0.0642133948147825,-0.384472365402552,0.0642570281124498,0.0998793052882272,-0.329513530253746,0.00401606425702811,0.00556934393839128,-0.216979023617296,0.502008032128514,0.502214480271666,-0.000872158844587499,0.325301204819277,0.228555342430005,0.469458067266837,0.0602409638554217,0.083007542479346,-0.398275734579539,0,0.0113080047204937,-0.99547690481084
"High Tech High International","San Diego Unified",190,259.367713004484,-0.376593109816417,0,0.00525258605708855,-0.890732772691476,0.0263157894736842,0.0642133948147825,-0.454126106256394,0.0894736842105263,0.0998793052882272,-0.0962541759718698,0.0157894736842105,0.00556934393839128,1.42765903661588,0.436842105263158,0.502214480271666,-0.276171508180451,0.368421052631579,0.228555342430005,0.678696580572478,0.0631578947368421,0.083007542479346,-0.347247303443442,0,0.0113080047204937,-0.99547690481084
"High Tech High Media Arts","San Diego Unified",188,259.367713004484,-0.38745098860484,0.00531914893617021,0.00525258605708855,0.011287723265899,0.0425531914893617,0.0642133948147825,-0.25955370288866,0.101063829787234,0.0998793052882272,0.0109570998904365,0.0212765957446809,0.00556934393839128,2.19416000964406,0.515957446808511,0.502214480271666,0.0580584045609454,0.271276595744681,0.228555342430005,0.207304338573436,0.0425531914893617,0.083007542479346,-0.707703455298425,0,0.0113080047204937,-0.99547690481084
"High Tech Middle","San Diego Unified",151,259.367713004484,-0.588321746190674,0.033112582781457,0.00525258605708855,4.7244941557849,0.0264900662251656,0.0642133948147825,-0.452037752075466,0.105960264900662,0.0998793052882272,0.0562501509753697,0.00662251655629139,0.00556934393839128,0.147118622019115,0.417218543046358,0.502214480271666,-0.359073020823694,0.344370860927152,0.228555342430005,0.561993331088508,0.0662251655629139,0.083007542479346,-0.293588843751813,0,0.0113080047204937,-0.99547690481084
"High Tech Middle Media Arts","San Diego Unified",143,259.367713004484,-0.631753261344367,0.00699300699300699,0.00525258605708855,0.295140326888849,0.013986013986014,0.0642133948147825,-0.601873513588198,0.0839160839160839,0.0998793052882272,-0.14766314356045,0.00699300699300699,0.00556934393839128,0.198872761458799,0.461538461538462,0.502214480271666,-0.17183951843364,0.370629370629371,0.228555342430005,0.689412415581343,0.0559440559440559,0.083007542479346,-0.473445314650804,0,0.0113080047204937,-0.99547690481084
"High Tech Elementary Chula Vista","SBC - High Tech High",208,259.367713004484,-0.278872200720606,0.00480769230769231,0.00525258605708855,-0.0754450167300024,0.110576923076923,0.0642133948147825,0.555573059893604,0.0432692307692308,0.0998793052882272,-0.523655054690508,0,0.00556934393839128,-0.777986620465237,0.697115384615385,0.502214480271666,0.823376490319237,0.125,0.228555342430005,-0.502500982592266,0.0192307692307692,0.083007542479346,-1.1157030502597,0,0.0113080047204937,-0.99547690481084
"High Tech Elementary North County","SBC - High Tech High",206,259.367713004484,-0.28973007950903,0.0145631067961165,0.00525258605708855,1.57887674051221,0.0242718446601942,0.0642133948147825,-0.478618648494849,0.0339805825242718,0.0998793052882272,-0.609576997843624,0.00970873786407767,0.00556934393839128,0.578235628225415,0.592233009708738,0.502214480271666,0.380291415687235,0.286407766990291,0.228555342430005,0.280728154672837,0.0388349514563107,0.083007542479346,-0.772749890468541,0,0.0113080047204937,-0.99547690481084
"High Tech High Chula Vista","SBC - High Tech High",311,259.367713004484,0.2803085568832,0.00643086816720257,0.00525258605708855,0.199812907308437,0.0707395498392283,0.0642133948147825,0.0782027609238723,0.022508038585209,0.0998793052882272,-0.715700433908582,0.00643086816720257,0.00556934393839128,0.120347087670693,0.736334405144695,0.502214480271666,0.989060788121327,0.112540192926045,0.228555342430005,-0.562962038011058,0.045016077170418,0.083007542479346,-0.664618035217898,0,0.0113080047204937,-0.99547690481084
"High Tech High Mesa","SBC - High Tech High",50,259.367713004484,-1.13664462500606,0.02,0.00525258605708855,2.50086429210825,0.02,0.0642133948147825,-0.529808061773222,0.08,0.0998793052882272,-0.183887740589755,0.02,0.00556934393839128,2.01583121183751,0.44,0.502214480271666,-0.26283069637676,0.36,0.228555342430005,0.63783352973867,0.06,0.083007542479346,-0.402491126716869,0,0.0113080047204937,-0.99547690481084
"High Tech High North County","SBC - High Tech High",186,259.367713004484,-0.398308867393264,0.00537634408602151,0.00525258605708855,0.203330796598759,0.0161290322580645,0.0642133948147825,0.312865754760929,0.0268817204301075,0.0998793052882272,-0.744868193663385,0.00537634408602151,0.00556934393839128,0.1232449383421,0.419354838709677,0.502214480271666,0.985467629598672,0.456989247311828,0.228555342430005,-0.576853610369507,0.0698924731182796,0.083007542479346,-0.887805144075898,0,0.0113080047204937,-0.99547690481084
